LTTP_position_x,LTTP_position_y,LTTP_position_z,LTTP_orientation_x,LTTP_orientation_y,LTTP_orientation_z,LTTP_velocity_linear_x,LTTP_velocity_linear_y,LTTP_velocity_linear_z,LTTP_velocity_angular_x,LTTP_velocity_angular_y,LTTP_velocity_angular_z,RTTP_position_x,RTTP_position_y,RTTP_position_z,RTTP_orientation_x,RTTP_orientation_y,RTTP_orientation_z,RTTP_velocity_linear_x,RTTP_velocity_linear_y,RTTP_velocity_linear_z,RTTP_velocity_angular_x,RTTP_velocity_angular_y,RTTP_velocity_angular_z,timestamp
0.210990551928108,-0.86966648426491,-0.265251371032217,-1.97152520290501,-0.486618842446255,-0.167709658766865,0.0105487969262493,0.00252440967930384,0.0103575957176331,0.0129921547041087,0.0398035826349183,-0.162495900995944,0.203708377811053,-0.864411612092233,-0.321536401410268,-1.44600143537889,-0.553598342690288,-0.230078354090691,-0.00675078331401668,0.00149042623555471,-0.0115948362309572,-0.0388276406158673,-0.037087319884646,0.116965659577825,0
0.210912910277326,-0.869663922995551,-0.26508539159312,-1.97073829234145,-0.487049998051211,-0.166401446199488,0.00581499570723495,0.00181902107518944,0.00964173282237936,0.0217441751298815,0.020321267080724,-0.0880011855535119,0.203688096254384,-0.864285103086371,-0.321566522256002,-1.44646727720417,-0.553234748519389,-0.229878566259619,-0.00233792208282632,0.00321370452560648,-0.00410353012592016,-0.0255718149171976,-0.0106500317879458,0.0665326440156277,33.3333333333333
0.210835268626545,-0.869661361726193,-0.264919412154022,-1.9699513817779,-0.487481153656166,-0.165093233632111,0.00108119448822061,0.00111363247107504,0.00892586992712559,0.0304961955556543,0.000838951526529663,-0.01350647011108,0.203667814697714,-0.86415859408051,-0.321596643101736,-1.44693311902945,-0.552871154348491,-0.229678778428547,0.00207493914836404,0.00493698281565826,0.00338777597911691,-0.0123159892185279,0.0157872563087543,0.0160996284534304,66.6666666666667
0.210757626975763,-0.869658800456834,-0.264753432714925,-1.96916447121434,-0.487912309261122,-0.163785021064734,-0.00365260673079373,0.000408243866960639,0.00821000703187182,0.0392482159814271,-0.0186433640276646,0.060988245331352,0.203684873359326,-0.864121006544418,-0.32155479903088,-1.44694002213032,-0.552420984292877,-0.231058668703591,0.00206256320482505,0.00312790600793625,0.0037386873914066,-0.00563540250443463,0.0181410877783736,-0.0267399377991563,100
0.210679985324982,-0.869656239187476,-0.264587453275828,-1.96837756065079,-0.488343464866077,-0.162476808497357,-0.00838640794980807,-0.000297144737153763,0.00749414413661804,0.0480002364071998,-0.0381256795818589,0.135482960773784,0.203709044443467,-0.86410035643114,-0.321499247356865,-1.44685950833129,-0.551954323592555,-0.232739450046467,0.00120728494228998,0.000645999657781128,0.00272952362412536,-0.000207242263593961,0.015907594176168,-0.0681331327546743,133.333333333333
0.210326197504003,-0.869736155592122,-0.264490400469141,-1.96769661647685,-0.489916059756133,-0.161281003768424,-0.0140120181583543,-0.00283574878373582,0.00373749254293835,0.0293090627377811,-0.0604251883519801,0.0578808139831528,0.203733215527609,-0.864079706317862,-0.321443695682849,-1.44677899453226,-0.551487662892234,-0.234420231389343,0.000352006679754917,-0.00183590669237399,0.00172035985684412,0.00522091797724671,0.0136741005739623,-0.109526327710192,166.666666666667
0.209903373140475,-0.869836691415268,-0.264410579320557,-1.96704216390031,-0.491774014467464,-0.160113300999101,-0.0198605806142836,-0.00583265669093478,-0.000779356225347824,0.0037570905445644,-0.0834289954260829,-0.057745548365744,0.20386761495308,-0.864049417403792,-0.321314374754065,-1.44620124571095,-0.550456483789681,-0.236495746910592,0.00506396460293011,0.0015985133940423,0.00426686242149773,0.0131127712926469,0.0243304646829356,-0.0107491280844494,200
0.209546807332264,-0.86958739841784,-0.26438544296594,-1.96641380165848,-0.492724456036898,-0.163833264884347,0.0018171189017391,0.0146597826147807,0.00129363582588909,0.020565198328691,0.0326261147913621,-0.11985706960618,0.203955820538947,-0.864053384713283,-0.321237153239921,-1.44559245138813,-0.549629271769112,-0.238260968743898,0.00420809774846977,0.00142744360947242,0.00271524794878035,0.0141276267155376,0.0170281938767803,0.0356870158041475,233.333333333333
0.2094784771255,-0.869269333235152,-0.264306414761843,-1.96564418376599,-0.492401500989637,-0.166761794352222,0.000564474547312893,0.00969542997352405,0.00275129723792633,0.0234957887189612,0.0219522553106078,-0.0826542143159747,0.203937326700639,-0.864118132556849,-0.321267410418319,-1.44505730574176,-0.549292983683862,-0.239397421706219,-0.00754457371683773,-0.00638797576640751,-0.00671889843064254,0.00280616959511989,-0.0241318189098893,-0.0426612080169012,266.666666666667
0.209443959751449,-0.869062031453062,-0.264250247698967,-1.96515437609632,-0.492121128599821,-0.168567093473223,-0.00455651726060814,0.000304532203545815,0.00205085537173096,0.0126985961337392,-0.0116111089333582,-0.0308564022387118,0.203862633404727,-0.86422184032224,-0.321273292583092,-1.44417437491307,-0.549241785717277,-0.240310340955413,-0.00147633148905279,-0.00242331412951251,0.000813921624156674,0.0238585746817418,-0.00511619387242808,0.0172140374696873,300
0.209325472119785,-0.869125467421224,-0.264283210137929,-1.96540193344363,-0.492610741891736,-0.168601983527356,-0.00313803018175913,-0.0026967047633551,-0.00280202605410286,-0.0186653197648356,-0.0135965805163141,0.0013197850597125,0.20382371797506,-0.864301018454779,-0.321195419142141,-1.44331140049169,-0.549226207555267,-0.244437684898946,0.0032437354379223,0.000950529671558977,0.00611834454595204,0.0361389770397519,0.00606567603284693,-0.0933698047735986,333.333333333333
